window_start,window_current_start,fundingRate,rate_7d_mean,rate_7d_std,rate_30d_mean,rate_30d_std,rate_zscore,rate_zscore_7d,rate_momentum_1d,rate_momentum_3d,rate_momentum_7d,rate_acceleration,pct_positive_7d,pct_positive_30d,rate_volatility_7d,hour,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,binance_premium,tri_exchange_mean,tri_exchange_std,tri_exchange_outlier,max_exchange_spread,usdt_supply,usdt_inflow_7d_pct,usdc_supply,usdc_inflow_7d_pct,total_stablecoin_supply,total_inflow_7d_pct,pred_direction_matches_actual,rate_btc,zscore_btc,mom_btc,rate_eth,zscore_eth,mom_eth,rate_sol,zscore_sol,mom_sol,rate_doge,zscore_doge,mom_doge,rate_xrp,zscore_xrp,mom_xrp,rate_avax,zscore_avax,mom_avax,rate_link,zscore_link,mom_link,btc_eth_spread,btc_sol_spread,eth_sol_spread,btc_eth_spread_zscore,btc_sol_spread_zscore,eth_sol_spread_zscore,hierarchy_normal,hierarchy_inversion,all_above_zscore_1,sync_score,btc_falling_sol_rising,rotation_direction,portfolio_rate_weighted,rel_score_btc,rel_score_eth,rel_score_sol,rel_score_doge,rel_score_xrp,rel_score_avax,rel_score_link
2023-03-16 16:00:00.005,2023-04-15 16:00:00.011,0.49688,0.57056,3.72216,,,,1.02812,0.14191,0.42628,0.21426,0.10335,1.36438,,3.72216,0.0,0.02001,0.0,0.0,0.0134,0.01464,0.0,0.49688,0.0,0.0,0.0,5.92121,3.79594,4.33373,5.06944,2.27028,1.78848,0.0,0.7925,,0.87909,0.14544,,0.26916,0.41971,,0.18487,0.59566,,0.6487,0.14912,,0.28051,1.77037,,1.41824,0.49688,,0.14191,0.47232,0.31088,0.24735,,,,0.00781,0.06361,0.0,0.0382,0.02611,0.11156,0.25153,,,,,,,
2023-03-26 16:00:00.000,2023-04-25 16:00:00.015,0.53902,2.23247,1.3986,2.37526,3.54161,2.62617,0.12337,0.71978,1.59557,0.36399,0.44056,1.81007,0.30572,1.3986,0.0,0.02001,0.0,0.0,0.01296,0.01485,0.0,0.53902,0.0,0.0,0.0,8.00025,3.67863,8.27543,5.17587,1.04827,4.59009,0.19419,0.40502,0.71538,0.3036,0.25131,2.04629,0.37172,0.4259,2.44565,0.55113,0.41984,1.73802,0.3011,0.31023,1.04804,0.2442,0.9762,1.7889,0.91728,0.53902,2.62617,0.71978,0.54723,0.40328,0.39899,0.49908,0.68184,2.38067,0.00338,0.14759,0.12004,0.84182,0.03429,0.01792,0.50672,0.58368,0.70452,0.68062,0.96191,0.34753,1.44155,1.84985
2023-04-05 16:00:00.004,2023-05-05 16:00:00.000,0.52692,1.90103,1.76376,1.54681,3.87882,1.60491,0.17664,0.78916,1.01678,0.53677,0.7075,2.12903,1.23741,1.76376,0.0,0.02001,0.0,0.0,0.01923,0.01009,0.0,0.52692,0.0,0.0,0.0,8.60928,2.72335,8.75332,3.2725,1.39412,1.89525,0.19419,0.26755,0.45592,0.37027,0.3165,0.72593,0.49564,0.44318,1.4667,0.30905,0.42697,2.06397,0.22276,0.53854,0.6702,0.29916,0.54803,1.22776,0.29058,0.52692,1.60491,0.78916,0.4973,0.30495,0.41921,0.27127,0.68908,0.59471,0.01429,0.06723,0.12004,0.84182,0.01002,0.01649,0.53506,0.67369,0.29345,0.17379,0.64935,0.49533,1.62594,0.70811
2023-04-15 16:00:00.011,2023-05-15 16:00:00.008,0.19442,2.47767,1.79363,9.40843,3.87739,2.66681,0.2267,0.19929,0.2235,0.21798,0.24286,2.12903,4.7134,1.79363,0.0,0.02001,0.0,0.0,0.01819,0.00126,0.0,0.19442,0.0,0.0,0.0,8.05708,6.3169,7.0699,2.1706,3.66794,2.38541,0.19419,0.40849,0.33041,0.3667,0.27982,0.37349,0.55392,0.61788,2.03045,0.70827,0.52146,0.71642,0.63829,0.80792,0.53291,0.54227,0.81665,1.51848,0.60312,0.19442,2.66681,0.19929,0.41762,0.22285,0.45349,0.32232,0.60304,0.48155,0.02809,0.05092,0.12004,0.75631,0.05583,0.05069,0.71039,0.71399,0.25044,0.40243,1.26521,0.40191,1.49577,0.90127
2023-04-25 16:00:00.015,2023-05-25 16:00:00.016,0.57364,2.11995,1.8395,6.66864,6.38967,2.41763,0.33035,0.75808,0.91385,0.54143,0.58311,0.05199,7.90806,1.8395,0.0,0.02001,0.0,0.0,0.01689,0.00252,0.0,0.57364,0.0,0.0,0.0,7.54627,4.56694,9.36885,1.48247,6.91897,2.513,0.0,0.43439,0.27815,0.38362,0.18933,0.94849,0.24543,0.56022,0.77349,0.43476,0.26398,0.23707,0.36078,0.15507,0.44568,0.2331,1.00196,1.75908,0.47294,0.57364,2.41763,0.75808,0.17405,0.60408,0.4187,0.56366,0.54074,0.39814,0.29712,0.02799,0.0,0.0,0.06578,0.04958,0.96993,0.71537,0.40385,0.2785,0.28315,0.73848,1.0159,0.58544
2023-05-05 16:00:00.000,2023-06-04 16:00:00.000,0.48974,2.49036,2.93147,2.98016,8.67466,0.95863,0.25268,0.39854,0.39541,0.53947,0.35457,0.0,3.79715,2.93147,0.0,0.02001,0.0,0.0,0.0167,0.01224,0.0,0.48974,0.0,0.0,0.0,6.71832,4.18719,8.08077,2.11961,8.81224,1.02034,0.0,0.41499,1.89714,0.61037,0.19722,0.48205,0.45342,0.7094,0.88651,0.74195,0.22682,0.17447,0.12305,0.27121,1.39613,0.51931,0.1674,4.97467,0.14773,0.48974,0.95863,0.39854,0.35097,1.72118,1.10092,0.51609,1.38278,0.68549,1.07271,0.0576,0.0,0.0,0.01859,0.05912,0.64046,0.36788,0.56217,0.48174,0.40417,0.30745,0.36235,0.34565
2023-05-15 16:00:00.008,2023-06-14 16:00:00.000,0.44116,1.27619,4.07667,9.74909,,0.30224,0.40226,0.39495,0.28715,0.29219,0.34,0.0,0.68579,4.07667,0.0,0.02001,0.0,0.0,0.01835,0.01576,0.0,0.44116,0.0,0.0,0.0,4.87121,0.8239,7.26388,1.12674,8.94551,2.50754,0.0,0.28043,2.99657,0.4063,0.54881,0.36426,0.26037,0.58141,0.66295,0.34719,0.57708,0.48401,0.44606,0.49207,0.28775,0.28149,0.42689,0.51209,0.29189,0.44116,0.30224,0.39495,0.83024,0.77565,0.70464,0.67148,0.54953,0.42545,0.04838,0.01072,0.0,0.0,0.03047,0.08527,0.50282,0.49261,0.21644,0.83486,0.16905,0.47389,0.8022,0.29883
2023-05-25 16:00:00.016,2023-06-24 16:00:00.000,0.61822,2.18874,2.20613,2.70655,6.34903,0.72242,1.31717,0.37439,0.29426,0.37404,0.48372,0.0,0.0,2.20613,0.0,0.02001,0.0,0.0,0.0134,0.01464,0.0,0.61822,0.0,0.0,0.0,6.83557,3.46497,4.76223,1.63517,6.78551,1.30705,0.0,0.16679,1.40866,0.57207,0.67798,0.38084,0.16795,0.32609,0.42687,0.11109,0.61944,0.46109,0.3319,0.656,1.10301,0.43853,0.88633,0.58894,0.32404,0.61822,0.72242,0.37439,0.37168,0.24152,0.19758,0.386,0.96411,0.87923,0.2048,0.28093,0.0,0.0,0.00501,0.10045,0.8107,0.66465,0.3452,0.8346,0.29592,0.25872,0.83268,1.0429
2023-06-04 16:00:00.000,2023-07-04 16:00:00.000,0.60133,5.12584,5.47896,1.13897,5.28497,0.47752,0.09618,0.36704,0.29047,0.75693,0.54646,0.0,0.0,5.47896,0.0,0.02001,0.0,0.0,0.01296,0.01485,0.0,0.60133,0.0,0.0,0.0,6.50714,5.46013,10.67941,1.19995,11.59991,1.25209,0.0,0.44024,0.40894,0.35921,0.57965,0.81782,0.11777,0.55303,0.56942,0.24138,0.41827,0.73229,0.61642,0.95261,1.13433,1.04662,0.86352,0.50244,0.32716,0.60133,0.47752,0.36704,0.67698,0.93258,0.38122,0.19282,0.25925,0.55938,0.0,0.11381,0.0,0.0,0.03919,0.09717,0.80611,0.67863,0.43081,0.7295,1.09207,0.54623,0.18014,0.15476
2023-06-14 16:00:00.000,2023-07-14 16:00:00.000,0.78547,3.54789,7.1244,9.20168,8.44031,0.36458,0.19919,0.35452,0.80618,0.76653,0.77049,0.0,0.0,7.1244,0.0,0.02001,0.0,0.0,0.01923,0.01009,0.0,0.78547,0.0,0.0,0.0,9.21448,0.99082,6.52071,2.09437,5.53574,4.37429,0.0,0.58116,0.67591,0.2473,0.60294,0.56443,0.2901,0.88001,0.98938,0.47638,0.62744,0.80222,0.84879,1.76316,0.42196,1.19819,0.60559,0.20371,0.16201,0.78547,0.36458,0.35452,0.40475,1.18832,0.87653,0.5805,0.4072,0.36594,0.15293,0.0,0.0,0.12004,0.00103,0.10019,2.15351,0.31328,0.28159,0.52378,0.8767,1.52882,0.19862,0.13942
